"Source:","/home/emifre/Git/rs-probe/rs-probe.kicad_sch"
"Date:","Wed 09 Mar 2022 02:24:04 PM CET"
"Tool:","Eeschema (6.0.2)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","87"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFPN","Manufacturer","Tolerance"
"","","R14","47k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R15","17.4k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R16","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R17","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R18","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R19","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R20","5.1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R21","5.1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R22","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R23","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R24","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R25","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R26","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R27","68k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R28","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","R29","1k","Device:R_Small","passive:R_0402","~","","","1%"
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQP2","~","","",""
"","","U1","74LVC1T45GM,115","rs-probe:74LVC1T45","Package_TO_SOT_SMD:SOT-886","https://www.diodes.com/assets/Datasheets/74LVC1T45.pdf","","",""
"","","U2","74LVC1T45GM,115","rs-probe:74LVC1T45","Package_TO_SOT_SMD:SOT-886","https://www.diodes.com/assets/Datasheets/74LVC1T45.pdf","","",""
"","","U3","W25Q8","Memory_Flash:W25Q32JVZP","son:USON-8-3x2mm-EP","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","W25Q80DVUXIE","",""
